epoch,loss,accuracy,val_loss,val_accuracy
0,0.9953458106465405,0.5,0.9839978972449899,0.499542236328125
1,0.3941758041619323,0.8236083984375,0.4264559317671228,0.8040771484375
2,0.32642392253910657,0.8612022399902344,0.42916136607527733,0.80029296875
3,0.28749678094754927,0.8808555603027344,0.45169699311372824,0.805023193359375
4,0.26150977231009165,0.8929443359375,0.49216955160954967,0.797332763671875
5,0.24280810153504717,0.9024696350097656,0.4744463027745951,0.802886962890625
6,0.22485450413842045,0.910369873046875,0.43989465927006677,0.811492919921875
7,0.21267024786902766,0.9157981872558594,0.41397486481582746,0.82025146484375
8,0.19990006963780615,0.9218864440917969,0.5220732864108868,0.792938232421875
9,0.18952167871157144,0.9262237548828125,0.5845028172188904,0.796783447265625
10,0.17884145258994977,0.9306716918945312,0.49403600153164007,0.808746337890625
11,0.1679959920593319,0.9351158142089844,0.5792390285932925,0.7958984375
12,0.15993518111918092,0.9386558532714844,0.5024753724283073,0.81231689453125
13,0.15131865607372674,0.9429130554199219,0.6152698961959686,0.79083251953125
14,0.14197716811213468,0.9468612670898438,0.5708419862494338,0.80633544921875
15,0.13408011876572345,0.9497337341308594,0.5918735447339714,0.804534912109375
16,0.12580185765318674,0.9527091979980469,0.6382859156001359,0.804656982421875
17,0.12091381964410175,0.9545822143554688,0.6250980603217613,0.790069580078125
18,0.11294858999690405,0.9583320617675781,0.5460389752697665,0.81280517578125
19,0.107308739601649,0.9600715637207031,0.5735924695327412,0.807525634765625
20,0.09973121714051558,0.9631843566894531,0.6935716212319676,0.7957763671875
21,0.09388879682433071,0.9655036926269531,0.7762319311732426,0.778106689453125
22,0.089223861007099,0.9672126770019531,0.7737950601731427,0.791412353515625
23,0.08453958200323086,0.9693984985351562,0.6146776239038445,0.80780029296875
24,0.078934838167811,0.9714508056640625,0.7724148896231782,0.805511474609375
25,0.0749239592688582,0.9729347229003906,0.7860951754264534,0.80682373046875
26,0.07162295465855095,0.9742355346679688,0.8301116231014021,0.795867919921875
27,0.06676662607708295,0.9756660461425781,0.8431790161703248,0.789886474609375
28,0.06386731679356217,0.9769630432128906,0.7350065734935924,0.8150634765625
29,0.06079551300899766,0.9779815673828125,1.0081875410396606,0.76947021484375
30,0.05709615263594969,0.9795341491699219,0.9566510459990241,0.778656005859375
31,0.05682029852096093,0.9796333312988281,0.9495286314049736,0.787109375
32,0.05343537614089655,0.98065185546875,1.0212994893663563,0.789154052734375
33,0.049757583328130295,0.9819908142089844,0.995826153899543,0.792144775390625
34,0.047415347062269575,0.9828300476074219,1.0206826621724758,0.8013916015625
35,0.04596175730222285,0.9832191467285156,0.9356509515782818,0.79974365234375
36,0.04426941960595343,0.9837722778320312,0.9202230079099536,0.807525634765625
37,0.04273861866380457,0.9844589233398438,0.9538225767610129,0.79351806640625
38,0.04195059531946299,0.9849090576171875,1.0271715093404055,0.796875
